"","tweet_id","sentiment","author","content"
"1",1956967341,"empty","xoshayzers","@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =["
"2",1956967666,"sadness","wannamama","Layin n bed with a headache  ughhhh...waitin on your call..."
"3",1956967696,"sadness","coolfunky","Funeral ceremony...gloomy friday..."
"5",1956968416,"neutral","xkilljoyx","@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
"6",1956968477,"worry","xxxPEACHESxxx","Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends"
"7",1956968487,"sadness","ShansBee","I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
"9",1956969035,"sadness","nic0lepaula","@charviray Charlene my love. I miss you"
"10",1956969172,"sadness","Ingenue_Em","@kelcouch I'm sorry  at least it's Friday?"
"11",1956969456,"neutral","feinyheiny","cant fall asleep"
"13",1956970047,"sadness","Danied32","Ugh! I have to beat this stupid song to get to the next  rude!"
"14",1956970424,"sadness","Samm_xo","@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol"
"15",1956970860,"surprise","okiepeanut93","Got the news"
"17",1956971170,"love","poppygallico","@annarosekerr agreed"
"18",1956971206,"sadness","brokenangel1982","So sleepy again and it's not even that late. I fail once again."
"19",1956971473,"worry","LCJ82","@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know"
"21",1956971981,"worry","andreagauster","@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too"
"22",1956972097,"fun","schiz0phren1c","Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
"23",1956972116,"neutral","jansc","No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps"
"25",1956972359,"sadness","xamountoftruth","so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once."
"26",1956972444,"worry","jomama6881","On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old"
"27",1956972557,"sadness","LilithGaea","@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
"29",1956973598,"sadness","username_origin","Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!"
"30",1956973690,"worry","catchtheapple","I HATE CANCER. I HATE IT I HATE IT I HATE IT."
